arch,optimizer,seed,lag,acf_mag,cos_sim
resnet18_cifar10,sgd_momentum,20142,35,0.632594068635283,0.009197405342402269
resnet18_cifar10,sgd_momentum,20142,36,0.6179677873935222,0.0052765357469809655
resnet18_cifar10,sgd_momentum,20142,37,0.6025314425509501,0.010113772850354223
resnet18_cifar10,sgd_momentum,20142,38,0.5869295543117067,0.006262758680280433
resnet18_cifar10,sgd_momentum,20142,39,0.5714176245455617,0.00859427780638079
resnet18_cifar10,sgd_momentum,20142,40,0.5555930358662773,0.006805636717462278
resnet18_cifar10,sgd_momentum,21142,0,1.0,1.0
resnet18_cifar10,sgd_momentum,21142,1,0.9872056555267213,-0.013936774966703945
resnet18_cifar10,sgd_momentum,21142,2,0.9746291565967342,-0.005880452883819848
resnet18_cifar10,sgd_momentum,21142,3,0.9637382515120225,0.007090591196151189
resnet18_cifar10,sgd_momentum,21142,4,0.9542798225731596,0.008337280297997672
resnet18_cifar10,sgd_momentum,21142,5,0.9458094785303264,0.012424449325745643
resnet18_cifar10,sgd_momentum,21142,6,0.9373171438291741,0.010644828387252848
resnet18_cifar10,sgd_momentum,21142,7,0.9286745537893898,0.012379997265902219
resnet18_cifar10,sgd_momentum,21142,8,0.9198445671217125,0.015029964125463795
resnet18_cifar10,sgd_momentum,21142,9,0.9114250068729763,0.01090588727834591
resnet18_cifar10,sgd_momentum,21142,10,0.9032825468204144,0.013655160031828427
resnet18_cifar10,sgd_momentum,21142,11,0.8950641888498384,0.012268865650111623
resnet18_cifar10,sgd_momentum,21142,12,0.8875349090717837,0.010088497378500783
resnet18_cifar10,sgd_momentum,21142,13,0.8792320415496956,0.012061776149945079
resnet18_cifar10,sgd_momentum,21142,14,0.8705870907142482,0.012245602221381087
resnet18_cifar10,sgd_momentum,21142,15,0.8625791233369239,0.009666694015705473
resnet18_cifar10,sgd_momentum,21142,16,0.8545745908605038,0.010126027626223473
resnet18_cifar10,sgd_momentum,21142,17,0.8460380625608077,0.010283436655473663
resnet18_cifar10,sgd_momentum,21142,18,0.837000905718556,0.011237549214969132
resnet18_cifar10,sgd_momentum,21142,19,0.8276818996613015,0.009481622098720506
resnet18_cifar10,sgd_momentum,21142,20,0.8183606288587467,0.00948535186987411
resnet18_cifar10,sgd_momentum,21142,21,0.8083789578994822,0.011166191898246159
resnet18_cifar10,sgd_momentum,21142,22,0.7983463161251901,0.008132233570800089
resnet18_cifar10,sgd_momentum,21142,23,0.7876251185741431,0.010266817590145307
resnet18_cifar10,sgd_momentum,21142,24,0.7765423523665087,0.010938094898196329
resnet18_cifar10,sgd_momentum,21142,25,0.7655850632925519,0.0075546906818105795
resnet18_cifar10,sgd_momentum,21142,26,0.7538777199686247,0.007737413266733494
resnet18_cifar10,sgd_momentum,21142,27,0.7418233992377464,0.010689406760203765
resnet18_cifar10,sgd_momentum,21142,28,0.7298633718337065,0.008995193619251343
resnet18_cifar10,sgd_momentum,21142,29,0.7172845191385135,0.009653402084808497
resnet18_cifar10,sgd_momentum,21142,30,0.7042168680126087,0.00704202813610809
resnet18_cifar10,sgd_momentum,21142,31,0.6909972625159544,0.009023655427539355
resnet18_cifar10,sgd_momentum,21142,32,0.6775745111440824,0.009067328221207207
resnet18_cifar10,sgd_momentum,21142,33,0.664164707196523,0.006815690456831127
resnet18_cifar10,sgd_momentum,21142,34,0.6498777623143647,0.0071059046075291656
resnet18_cifar10,sgd_momentum,21142,35,0.6356519365455189,0.007203827902895919
resnet18_cifar10,sgd_momentum,21142,36,0.620761938396544,0.007911706834107635
resnet18_cifar10,sgd_momentum,21142,37,0.6059122538015499,0.008620675356278227
resnet18_cifar10,sgd_momentum,21142,38,0.5903810023614547,0.006868644010340963
resnet18_cifar10,sgd_momentum,21142,39,0.5749738306760617,0.0080622156451113
resnet18_cifar10,sgd_momentum,21142,40,0.5589942401303423,0.006992162244482053
resnet18_cifar10,sgd_momentum,22142,0,1.0,1.0
resnet18_cifar10,sgd_momentum,22142,1,0.9836044283651262,-0.016032802399400747
resnet18_cifar10,sgd_momentum,22142,2,0.9697321558453271,-0.003521292133501153
resnet18_cifar10,sgd_momentum,22142,3,0.9580616289337868,0.00651852247755098
resnet18_cifar10,sgd_momentum,22142,4,0.9486022875067183,0.011258097041709606
resnet18_cifar10,sgd_momentum,22142,5,0.9401948341657593,0.010871826291212711
resnet18_cifar10,sgd_momentum,22142,6,0.9320557633671668,0.011830086398325217
resnet18_cifar10,sgd_momentum,22142,7,0.9241144546009289,0.0130992298985639
resnet18_cifar10,sgd_momentum,22142,8,0.9159033411161601,0.013761528851303976
resnet18_cifar10,sgd_momentum,22142,9,0.907785834164661,0.011155270962021412
resnet18_cifar10,sgd_momentum,22142,10,0.9001989403820629,0.01345267114323556
resnet18_cifar10,sgd_momentum,22142,11,0.8923713261583126,0.013005943021522498
