dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p18,helix,18.0,16,16,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0016864147037267685,0.029502807185053825,0.10747500509023666,0.05716116073605186,1.0,0.0,-1.858687317764374,-0.1057885903865099,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,20,20,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0013562645763158798,0.027247056365013123,0.10214864835143089,0.04977655413843638,1.0,0.0,-1.9937937538115964,-0.10079238377511501,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,20,20,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0011906865984201431,0.024830052629113197,0.12131208926439285,0.04795344642065364,1.0,0.0,-2.1449166609510524,-0.12012140266597271,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,20,20,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0021267468109726906,0.027313407510519028,0.14436223730444908,0.0778645729236005,1.0,0.0,-1.9368351925656646,-0.1422354904934764,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,20,20,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.001261184923350811,0.026076043024659157,0.12285482883453369,0.04836565586694995,1.0,0.0,-2.2546883504405675,-0.12159364391118288,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,6,6,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0006219521164894104,0.028568262234330177,0.07881667837500572,0.02177073674856731,1.0,0.0,-2.4216312374151316,-0.07819472625851631,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,6,6,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019403276965022087,0.029201588593423367,0.09395380318164825,0.06644596372653348,1.0,0.0,-2.3961589933179637,-0.09201347548514605,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,6,6,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.002054985612630844,0.026045111007988453,0.08197943866252899,0.0789010118606001,1.0,0.0,-2.429604263120397,-0.07992445304989815,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,6,6,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.00041345134377479553,0.028952077962458134,0.11832484602928162,0.014280541254988094,1.0,0.0,-2.4539325025838408,-0.11791139468550682,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,8,8,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0011318270117044449,0.02926959004253149,0.08765005692839622,0.03866904217042753,1.0,0.0,-2.9059829583268275,-0.08651822991669178,0.0,False,False,False,False,False,False
