arch,optimizer,k_value,filtration_pct,n_seeds,seeds_fired,p_min,p_median,zrob_median,Lobs_median
smallcnn_cifar10,sgd,10,99.0,3,0,0.9900497512437813,0.9900497512437813,-2.5506711486253995,0.0018441188149154
smallcnn_cifar10,sgd,12,90.0,3,0,0.9900497512437813,0.9950248756218906,-2.8055749722565038,0.0018053827807307
smallcnn_cifar10,sgd,12,95.0,3,0,0.9701492537313432,0.9800995024875622,-2.231412851124617,0.0018053827807307
smallcnn_cifar10,sgd,12,99.0,3,0,0.965174129353234,0.9950248756218906,-2.3959354666259376,0.0018053827807307
smallcnn_cifar10,sgd,16,90.0,3,0,0.9900497512437813,0.9950248756218906,-2.4907858657514685,0.0018265310209244
smallcnn_cifar10,sgd,16,95.0,3,0,0.9701492537313432,0.9850746268656716,-2.874265712431632,0.0018265310209244
smallcnn_cifar10,sgd,16,99.0,3,0,0.9900497512437813,0.9950248756218906,-2.5407035978587413,0.0018265310209244
smallcnn_cifar10,sgd_momentum,8,90.0,3,0,0.8059701492537313,0.8109452736318408,-1.5664701346265997,0.0008971213246695
smallcnn_cifar10,sgd_momentum,8,95.0,3,0,0.7910447761194029,0.8308457711442786,-1.443545954951838,0.0008971213246695
smallcnn_cifar10,sgd_momentum,8,99.0,3,0,0.8059701492537313,0.8507462686567164,-1.852415839371496,0.0008971213246695
smallcnn_cifar10,sgd_momentum,10,90.0,3,0,0.8208955223880597,0.835820895522388,-1.4602022654835964,0.0007201565895229
smallcnn_cifar10,sgd_momentum,10,95.0,3,0,0.8009950248756219,0.8308457711442786,-1.3739581360565774,0.0007201565895229
smallcnn_cifar10,sgd_momentum,10,99.0,3,0,0.7761194029850746,0.8159203980099502,-1.317833368140244,0.0007201565895229
smallcnn_cifar10,sgd_momentum,12,90.0,3,0,0.7960199004975125,0.8159203980099502,-1.5312961952368085,0.0007846883963793
smallcnn_cifar10,sgd_momentum,12,95.0,3,0,0.7960199004975125,0.8208955223880597,-1.653626984989617,0.0007846883963793
smallcnn_cifar10,sgd_momentum,12,99.0,3,0,0.8208955223880597,0.8407960199004975,-1.657591244455792,0.0007846883963793
smallcnn_cifar10,sgd_momentum,16,90.0,3,0,0.8009950248756219,0.8208955223880597,-1.4605251950063634,0.0008884270209819
smallcnn_cifar10,sgd_momentum,16,95.0,3,0,0.7960199004975125,0.7960199004975125,-1.2944174445059622,0.0008884270209819
smallcnn_cifar10,sgd_momentum,16,99.0,3,0,0.8159203980099502,0.8258706467661692,-1.512674898788528,0.0008884270209819
